trade,category,name,description,unit,unitPrice,supplier,supplierCode,wasteFactor,pricingNote
electrical,EV Charging,Tesla Gen 3 Wall Connector 7.3m,"Type 2 residential wall connector, up to 7kW single phase / 11kW three phase",ea,745.00,Tesla/Bunnings,EV-TESLA-GEN3-7M,0,"Observed retail $745; good low-cost known-model allowance"
electrical,EV Charging,Evnex E2 Flex 7.4kW EV Charger,"Entry smart home EV charger, 5m Type 2 cable, grid-ready with solar upgrade option",ea,799.00,Evnex,EV-EVNEX-E2-FLEX,0,"Observed charger-only retail $799"
electrical,EV Charging,Evnex E2 Core 7.4kW EV Charger,"Smart solar-ready home EV charger with Wi-Fi, overload protection and Type 2 cable",ea,1099.00,Evnex,EV-EVNEX-E2-CORE,0,"Observed charger-only retail $1,099"
electrical,EV Charging,Ocular IQ Home Solar 7kW EV Charger,"Solar-ready residential EV charger with 5m Type 2 cable, app control and OCPP",ea,1195.00,EVSE/Ocular,EV-OCULAR-IQ-HOME-7T,0,"Observed from $1,195; aligns with customer wholesale feedback"
electrical,EV Charging,Ocular IQ Wallbox V2 7kW,"OCPP smart wallbox with 5m Type 2 cable, RFID and billing-capable functions",ea,1769.00,EVSE/Ocular,EV-OCULAR-IQ-WALLBOX-7T,0,"Observed retail $1,769"
electrical,EV Charging,Projecta 22kW EV Wall Charger,"Single/three phase wall charger, 7-22kW configurable, IP65 outdoor rated",ea,1533.00,Repco/Projecta,EVC22KW,0,"Observed retail $1,533; Auto Club price $1,456.35"
electrical,EV Charging,Residential EV Charger - Buyer Allowance,"Mid-market wholesale allowance for Ocular/Zappi/Wallbox/Evnex-class residential charger where brand is not specified",ea,1200.00,Market allowance,EV-ALLOW-RESI,0,"Default buyer-side allowance; stops lowball $800 pricing"
electrical,EV Charging,Premium Solar EV Charger - Buyer Allowance,"Premium solar/OCPP charger allowance for Zappi/Ocular/Wallbox class units before installation",ea,1650.00,Market allowance,EV-ALLOW-PREMIUM,0,"Use when solar diversion/OCPP/premium charger is requested but brand unknown"
electrical,EV Charging Protection,40A Type A RCBO/RCD Protection - Single Phase EV,"Dedicated 40A Type A circuit protection for 32A single-phase EV charger circuit",ea,95.00,Clipsal/Schneider/Hager,EV-PROT-1P-40A-A,0,"Buyer allowance; actual brand and poles vary"
electrical,EV Charging Protection,40A Type A RCD/RCBO Protection - Three Phase EV,"Dedicated Type A RCD/RCBO protection for three-phase EV charger circuit",ea,180.00,Clipsal/Schneider/Hager,EV-PROT-3P-A,0,"Buyer allowance for 3-phase protection"
electrical,EV Charging Protection,Type B EV RCD Allowance,"Required where charger does not include 6mA DC fault detection; higher-cost protection allowance",ea,420.00,Schneider/ABB/Hager,EV-PROT-TYPE-B,0,"Only use when charger lacks integrated DC fault protection"
electrical,EV Charging Protection,Weatherproof EV Isolator 40-63A,"IP66 local isolator for external/distant charger locations where required or advisable",ea,65.00,Clipsal/Schneider/Chint,EV-ISO-IP66-63A,0,"Use where switchboard is not adjacent/visible or installer prefers local isolation"
electrical,EV Charging Cabling,6mm TPS Cable - Dedicated EV Circuit,"Minimum cable allowance for standard 32A domestic EV charger circuit; confirm voltage drop and route",m,7.80,Prysmian/Olex,EV-CABLE-6MM-1P,10,"Minimum 6mm² noted in installation guidance; verify derating"
electrical,EV Charging Cabling,6mm 4-Core + Earth Cable - Three Phase EV,"Three-phase cable allowance for 11-22kW EV charger circuit; confirm installation method and derating",m,18.50,Prysmian/Olex,EV-CABLE-6MM-3P,10,"Allowance for 3-phase EV circuit cabling"
electrical,EV Charging Cabling,EV Charger Consumables Pack,"Glands, saddles, fixings, labels, ferrules, lugs and small consumables for one charger install",pack,85.00,Electrical wholesaler,EV-CONSUMABLES,0,"One pack per charger"
electrical,EV Charging Labour,EV Charger Install Labour - Standard,"Licensed electrician labour allowance for charger mount, dedicated circuit, protection, testing and commissioning",lot,900.00,Labour allowance,EV-LABOUR-STANDARD,0,"Standard install allowance excluding charger; adjust for route length and board work"
electrical,EV Charging Labour,Switchboard Upgrade Allowance for EV Charger,"Provisional allowance where board space, main switch, RCD compliance or load management work is required",lot,650.00,Labour/material allowance,EV-PS-SWITCHBOARD,0,"Use as provisional sum when board capacity is unknown"
